iter	Passed	Remaining
703	11592	70743
704	11609	70726
705	11626	70712
706	11645	70712
707	11662	70700
708	11680	70691
709	11698	70683
710	11714	70668
711	11732	70657
712	11748	70640
713	11764	70619
714	11785	70631
715	11803	70623
716	11820	70611
717	11839	70609
718	11856	70593
719	11872	70574
720	11889	70561
721	11905	70544
722	11922	70527
723	11939	70517
724	11955	70496
725	11973	70488
726	11993	70492
727	12011	70483
728	12033	70500
729	12052	70500
730	12071	70498
731	12090	70497
732	12111	70507
733	12133	70519
734	12151	70513
735	12169	70506
736	12188	70499
737	12210	70513
738	12230	70520
739	12252	70533
740	12270	70528
741	12291	70537
742	12309	70527
743	12325	70506
744	12340	70480
745	12354	70450
746	12371	70435
747	12386	70411
748	12401	70386
749	12416	70357
750	12431	70334
751	12447	70313
752	12463	70296
753	12481	70287
754	12497	70268
755	12512	70243
756	12529	70225
757	12547	70221
758	12563	70201
759	12578	70174
760	12593	70150
761	12609	70127
762	12624	70106
763	12640	70085
764	12656	70066
765	12675	70064
766	12690	70038
767	12705	70010
768	12721	69990
769	12737	69973
770	12752	69946
771	12766	69919
772	12784	69911
773	12800	69892
774	12814	69858
775	12829	69833
776	12845	69812
777	12861	69798
778	12876	69772
779	12891	69745
780	12905	69716
781	12920	69691
782	12935	69667
783	12950	69639
784	12964	69611
785	12978	69581
786	12992	69552
787	13007	69529
788	13021	69499
789	13036	69473
790	13051	69447
791	13065	69417
792	13079	69388
793	13093	69359
794	13107	69329
795	13122	69304
796	13143	69313
797	13182	69416
798	13208	69446
799	13225	69436
800	13243	69426
801	13269	69455
802	13287	69448
803	13305	69441
804	13323	69429
805	13342	69424
806	13358	69407
807	13375	69391
808	13391	69373
809	13408	69360
810	13427	69357
811	13443	69339
812	13461	69327
813	13480	69321
814	13498	69315
815	13516	69307
816	13531	69281
817	13546	69257
818	13560	69228
819	13576	69205
820	13595	69200
821	13609	69172
822	13622	69141
823	13637	69114
824	13653	69097
825	13673	69097
826	13692	69092
827	13709	69075
828	13727	69070
829	13744	69054
830	13760	69036
831	13778	69025
832	13795	69009
833	13811	68990
834	13827	68973
835	13844	68956
836	13860	68939
837	13876	68920
838	13890	68892
839	13904	68862
840	13919	68835
841	13932	68801
842	13946	68772
843	13960	68743
844	13975	68718
845	13988	68686
846	14001	68652
847	14015	68623
848	14031	68603
849	14045	68575
850	14063	68564
851	14077	68535
852	14090	68502
853	14104	68473
854	14118	68445
855	14131	68414
856	14146	68386
857	14161	68364
858	14178	68348
859	14196	68339
860	14215	68338
861	14232	68322
862	14249	68309
863	14268	68302
864	14285	68291
865	14302	68275
866	14319	68261
867	14335	68244
868	14351	68221
869	14367	68205
870	14384	68190
871	14400	68169
872	14415	68147
873	14429	68121
874	14443	68092
875	14457	68062
876	14472	68038
877	14485	68006
878	14500	67981
879	14514	67953
880	14527	67921
881	14540	67888
882	14554	67858
883	14573	67854
884	14589	67835
885	14604	67815
886	14618	67787
887	14632	67755
888	14645	67723
889	14658	67691
890	14671	67661
891	14685	67630
892	14698	67598
893	14711	67566
894	14726	67544
895	14739	67513
896	14752	67479
897	14766	67453
898	14780	67422
899	14793	67390
900	14805	67357
901	14820	67334
902	14835	67309
903	14848	67275
904	14863	67255
905	14876	67225
906	14889	67192
907	14902	67157
908	14917	67136
909	14935	67129
910	14956	67133
911	14979	67145
912	15000	67148
913	15022	67157
